Company,Industry,Sector
IONITY,Motor Vehicle Manufacturing,Manufacturing
Huel,Food & Beverages,Retail
de Bijenkorf,Retail,Retail
daa,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Waterstones,Retail,Retail
National Grid ESO,Utilities,Utilities
Post Office Ltd,Retail,Retail
Nordic Capital,Capital Markets,Financial Services
Dunnes Stores,Retail,Retail
Royal Horticultural Society,Civic and Social Organizations,Consumer Services
FT Live,Events Services,Administrative and Support Services
TJX Europe,Retail,Retail
Bord Bia - The Irish Food Board,Food and Beverage Services,Accomodation Services
Eurosport,Broadcast Media Production and Distribution,"Technology, Information and Media"
OBI Group Holding,Retail,Retail
Hyundai Motor Europe,Motor Vehicle Manufacturing,Manufacturing
The Social Hub (B Corp),Hospitality,Accomodation Services
The Savoy,Hospitality,Accomodation Services
Imagination,Events Services,Administrative and Support Services
The Ivy Collection,Hospitality,Accomodation Services
TOYOTA GAZOO Racing Europe,Motor Vehicle Manufacturing,Manufacturing
Rocksteady Studios Ltd,Computer Games,"Technology, Information and Media"
Jagex,Computer Games,"Technology, Information and Media"
SOK,Retail,Retail
Grosvenor,Real Estate,Real Estate and Equipment Rental Services
Princes Limited,Food and Beverage Services,Accomodation Services
Axfood,Retail,Retail
TÜV NORD GROUP,Consumer Services,Consumer Services
PKC Group,Motor Vehicle Manufacturing,Manufacturing
Rare Ltd,Computer Games,"Technology, Information and Media"
Jack Wills,Retail Apparel and Fashion,Retail
Valeo Germany,Motor Vehicle Manufacturing,Manufacturing
Hirschmann Automotive,Motor Vehicle Manufacturing,Manufacturing
Triodos Bank,Banking,Financial Services
the Design Museum,"Museums, Historical Sites, and Zoos",Entertainment Providers
Westwing,Retail,Retail
MADE.COM,Retail,Retail
Delhaize Belgium,Retail,Retail
NetJets Europe,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
National Portrait Gallery,"Museums, Historical Sites, and Zoos",Entertainment Providers
S.OLIVER GROUP,Retail Apparel and Fashion,Retail
Mytheresa,Retail Luxury Goods and Jewelry,Retail
Rovio Entertainment,Computer Games,"Technology, Information and Media"
Marley Spoon,Food and Beverage Services,Accomodation Services
TAG Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Severn Trent,Utilities,Utilities
Strawberry,Hospitality,Accomodation Services
KingMakers,Entertainment Providers,Entertainment Providers
Management Events,Events Services,Administrative and Support Services
Royal Shakespeare Company,Performing Arts,Entertainment Providers
EXANTE,Capital Markets,Financial Services
Paradox Interactive,Computer Games,"Technology, Information and Media"
Royal Academy of Arts,"Museums, Historical Sites, and Zoos",Entertainment Providers
DICE,Computer Games,"Technology, Information and Media"
Rebellion,Computer Games,"Technology, Information and Media"
Jaguar,Motor Vehicle Manufacturing,Manufacturing
G-STAR,Retail,Retail
Home Bargains,Retail,Retail
McLaren Applied,Motor Vehicle Manufacturing,Manufacturing
Leading HR by AIHR,E-Learning Providers,Education
TRATON GROUP,Motor Vehicle Manufacturing,Manufacturing
Reiss,Retail,Retail
