Company,Industry,Sector
Fota Island Resort,Hospitality,Accomodation Services
ACC Liverpool,Events Services,Administrative and Support Services
SAS Connect,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Papendal,Hospitality,Accomodation Services
Savills Germany,Real Estate,Real Estate and Equipment Rental Services
LloydsPharmacy Ireland,Retail,Retail
Fitness24Seven,"Health, Wellness and Fitness",Entertainment Providers
KILLSTAR,Retail Apparel and Fashion,Retail
Freemans Event Partners,Events Services,Administrative and Support Services
Hodge,Banking,Financial Services
Ålandsbanken Abp,Banking,Financial Services
Kulturhuset Stadsteatern,"Museums, Historical Sites, and Zoos",Entertainment Providers
PEM RWTH Aachen University,Motor Vehicle Manufacturing,Manufacturing
Hamburger Energiewerke GmbH,Utilities,Utilities
Hyundai Motor Europe Technical Center GmbH,Motor Vehicle Manufacturing,Manufacturing
Nefit NL,Consumer Goods,Retail
Unforgettable Travel Company,"Leisure, Travel & Tourism",Administrative and Support Services
Valor Hospitality Careers UK,Hospitality,Accomodation Services
Exhibition Hub,Entertainment Providers,Entertainment Providers
Finansforbundet (Norge),Civic and Social Organizations,Consumer Services
Royal Lancaster London,Hospitality,Accomodation Services
Buena,Real Estate,Real Estate and Equipment Rental Services
The Nic. Christiansen Group,Motor Vehicle Manufacturing,Manufacturing
Stoneacre Motor Group,Motor Vehicle Manufacturing,Manufacturing
Tchibo Coffee International,Food and Beverage Services,Accomodation Services
John Smedley Ltd,Retail Apparel and Fashion,Retail
Vinokilo I Certified B Corp,Retail Apparel and Fashion,Retail
TrustMark,Consumer Services,Consumer Services
LiFE Residential,Real Estate,Real Estate and Equipment Rental Services
ACS Armoured Car Systems,Motor Vehicle Manufacturing,Manufacturing
Royal Garden Hotel,Hospitality,Accomodation Services
Skins,Retail,Retail
77 Diamonds,Retail Luxury Goods and Jewelry,Retail
Cosy Club,Restaurants,Accomodation Services
Aviator Airport Alliance AB,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Cashel Palace Hotel,Hospitality,Accomodation Services
W Amsterdam,Hospitality,Accomodation Services
GASGAS Motorcycles GmbH,Motor Vehicle Manufacturing,Manufacturing
Heron Foods,Retail,Retail
Bilderberg,Hospitality,Accomodation Services
LANG AG,Events Services,Administrative and Support Services
Smart Press Shop GmbH & Co. KG,Motor Vehicle Manufacturing,Manufacturing
Steer Automotive Group,Motor Vehicle Manufacturing,Manufacturing
Avalon Entertainment,Entertainment,Entertainment Providers
Single Homeless Project,Civic and Social Organizations,Consumer Services
TinQwise,E-Learning Providers,Education
Pophouse Entertainment,Entertainment Providers,Entertainment Providers
fonq.nl,Retail,Retail
Maverick Derivatives,Capital Markets,Financial Services
VCST,Motor Vehicle Manufacturing,Manufacturing
The Cambium Group,Consumer Services,Consumer Services
BMTS Technology,Motor Vehicle Manufacturing,Manufacturing
Stichting tegen Kanker - Fondation contre le Cancer,Civic and Social Organizations,Consumer Services
LeMieux,Retail,Retail
Asprey,Retail Luxury Goods and Jewelry,Retail
Home Grown Club,Hospitality,Accomodation Services
Manheim UK,Motor Vehicle Manufacturing,Manufacturing
Dakota Hotels,Hospitality,Accomodation Services
Farnborough Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Woonzorg Nederland,Real Estate,Real Estate and Equipment Rental Services
Avinode Group,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Spar Holding Netherlands,Retail,Retail
Bilia,Motor Vehicle Manufacturing,Manufacturing
Robert Dyas,Retail,Retail
HVS (Hydrogen Vehicle Systems),Motor Vehicle Manufacturing,Manufacturing
Griffin,Banking,Financial Services
Chilly's,Retail,Retail
Koch Media GmbH,Entertainment Providers,Entertainment Providers
House of CB,Retail,Retail
Egyptian Automotive & Trading Co.,Motor Vehicle Manufacturing,Manufacturing
SUSHISAMBA GROUP,Hospitality,Accomodation Services
Hoogvliet supermarkt,Retail,Retail
Aartsen Fruit & Vegetables,Food & Beverages,Retail
Solace Women's Aid,Civic and Social Organizations,Consumer Services
CBC Banque & Assurance,Banking,Financial Services
LichtBlick SE,Utilities,Utilities
Immoweb,Real Estate,Real Estate and Equipment Rental Services
Magnet,Retail,Retail
Aluvision NV,Events Services,Administrative and Support Services
Schiphol Real Estate,Real Estate,Real Estate and Equipment Rental Services
KILROY,"Leisure, Travel & Tourism",Administrative and Support Services
Lexington Catering,Hospitality,Accomodation Services
Food ingredients Global,Events Services,Administrative and Support Services
Region Jönköpings län,Civic and Social Organizations,Consumer Services
Renault Trucks UK,Motor Vehicle Manufacturing,Manufacturing
"Shangri-La The Shard, London",Hospitality,Accomodation Services
Lufthansa Group Business Services,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Lufthansa Group Digital Hangar,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
HBPO - Plastic Omnium Modules,Motor Vehicle Manufacturing,Manufacturing
Knowunity,E-Learning,Education
GARBE Industrial Real Estate GmbH,Real Estate,Real Estate and Equipment Rental Services
Microsoft Xbox Series X,Computer Games,"Technology, Information and Media"
DAT,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ERWIN HYMER GROUP,Motor Vehicle Manufacturing,Manufacturing
apotea.se,Online and Mail Order Retail,Retail
it-sa – Home of IT Security,Events Services,Administrative and Support Services
Tarsus Group,Events Services,Administrative and Support Services
Ubisoft RedLynx,Computer Games,"Technology, Information and Media"
GIANT Health Event,Events Services,Administrative and Support Services
White Light,Entertainment Providers,Entertainment Providers
VKU - German Association of Local Public Utilities,Utilities,Utilities
Hotel Café Royal,Hospitality,Accomodation Services
Topps Tiles,Retail,Retail
Sapphire Utility Solutions Ltd,Utilities,Utilities
LW Theatres,Entertainment,Entertainment Providers
Sparebanken Vest,Banking,Financial Services
National Residential Landlords Association - NRLA,Real Estate,Real Estate and Equipment Rental Services
Pobl Group,Civic and Social Organizations,Consumer Services
Alken-Maes,Food & Beverages,Retail
"Cameron House, Loch Lomond, Scotland",Hospitality,Accomodation Services
Peter Vardy Global,Retail Motor Vehicles,Retail
First Event,Events Services,Administrative and Support Services
Motherson Innovations,Motor Vehicle Manufacturing,Manufacturing
TopHat,Real Estate,Real Estate and Equipment Rental Services
PWN,Utilities,Utilities
Laser World of Photonics,Events Services,Administrative and Support Services
Mikkeller,Food and Beverage Services,Accomodation Services
NOMOS Glashütte,Retail Luxury Goods and Jewelry,Retail
SilverDoor,Hospitality,Accomodation Services
Dutch Banking Association,Banking,Financial Services
AVIOBOOK,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
BIG Bundesimmobiliengesellschaft m.b.H.,Real Estate,Real Estate and Equipment Rental Services
automatica,Events Services,Administrative and Support Services
Lavazza Professional UK,Food and Beverage Services,Accomodation Services
Patron Capital,Real Estate,Real Estate and Equipment Rental Services
Hedin Automotive Sverige,Motor Vehicle Manufacturing,Manufacturing
Qirion,Utilities,Utilities
BOXPARK,Hospitality,Accomodation Services
Hoop VFX,"Movies, Videos and Sound","Technology, Information and Media"
Somerset House,"Museums, Historical Sites, and Zoos",Entertainment Providers
nemlig.com,Retail,Retail
Oasis Fashions,Retail,Retail
Leki Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
MUJI Europe Limited,Retail,Retail
Supply Chain Sustainability School (UK),E-Learning Providers,Education
Turtle Bay Restaurants,Restaurants,Accomodation Services
Tiger Trailers,Motor Vehicle Manufacturing,Manufacturing
Barclays Business Banking,Banking,Financial Services
Student Roost,Real Estate,Real Estate and Equipment Rental Services
Eton Shirts,Retail Apparel and Fashion,Retail
ECCO Leather B.V.,Retail Apparel and Fashion,Retail
Gear4music Ltd.,Retail Musical Instruments,Retail
Showsec,Events Services,Administrative and Support Services
Hipgnosis,Entertainment Providers,Entertainment Providers
Royal Copenhagen,Luxury Goods and Jewelry,Retail
HiiL | Dedicated to people-centred justice,Civic and Social Organizations,Consumer Services
Chotto Matte,Restaurants,Accomodation Services
Ryanair Engineering Training Academy,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ORIX Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
XR Games,Computer Games,"Technology, Information and Media"
Selected,Retail Apparel and Fashion,Retail
Fashion UK,Retail,Retail
Bethmann Bank,Banking,Financial Services
Aalborg Lufthavn,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Vimto,Food and Beverage Services,Accomodation Services
EHI Retail Institute,Retail,Retail
d3t,Computer Games,"Technology, Information and Media"
The Great Run Company,Events Services,Administrative and Support Services
Zentralverband Deutsches Kraftfahrzeuggewerbe e.V. (ZDK),Motor Vehicle Manufacturing,Manufacturing
ZUKUNFT NAHVERKEHR,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
"Inception Group, London",Hospitality,Accomodation Services
Wiener Netze GmbH,Utilities,Utilities
Brook Green Supply,Utilities,Utilities
Fridays For Future International,Civic and Social Organizations,Consumer Services
First Hotels,Hospitality,Accomodation Services
Volvo Car Nederland,Motor Vehicle Manufacturing,Manufacturing
Atlantic Flight Training Academy,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Harrods Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Metropolitan Pub Company,Hospitality,Accomodation Services
Fiera Real Estate UK,Real Estate,Real Estate and Equipment Rental Services
Yopa Property,Real Estate,Real Estate and Equipment Rental Services
OUTFITTERY,Retail Apparel and Fashion,Retail
De Mandemakers Groep,Retail,Retail
itslearning,E-Learning Providers,Education
ICICI Bank UK,Banking,Financial Services
Special Fruit nv,Food and Beverage Services,Accomodation Services
ÖoB AB,Retail,Retail
Newstalk,Broadcast Media Production and Distribution,"Technology, Information and Media"
Excel Winner,Real Estate,Real Estate and Equipment Rental Services
Denns BioMarkt,Retail,Retail
Barco Cinema,Entertainment Providers,Entertainment Providers
Dalcour Maclaren,Utilities,Utilities
Filling Pieces,Retail Apparel and Fashion,Retail
Vashi,Luxury Goods and Jewelry,Retail
Tratok Holding Ltd,"Leisure, Travel & Tourism",Administrative and Support Services
Healthy & Tasty,Retail Health and Personal Care Products,Retail
Creative Technology Netherlands,Events Services,Administrative and Support Services
Teknologiateollisuus - Technology Industries of Finland,Civic and Social Organizations,Consumer Services
Kneipp,"Health, Wellness and Fitness",Entertainment Providers
REITAN AS,Retail,Retail
Sloane Helicopters,Aviation & Aerospace,"Transportation, Logistics, Supply Chain and Storage"
Staedion,Real Estate,Real Estate and Equipment Rental Services
Drake's,Retail,Retail
A+A (AplusA) – International Trade Fair and Congress,Events Services,Administrative and Support Services
Resurs,Banking,Financial Services
DREST,Mobile Gaming Apps,"Technology, Information and Media"
Mio AB,Retail,Retail
National Landlords Association,Real Estate,Real Estate and Equipment Rental Services
Garcia,Retail Apparel and Fashion,Retail
The St. Regis Cairo,Hospitality,Accomodation Services
Redhill Games,Computer Games,"Technology, Information and Media"
MAPP,Real Estate,Real Estate and Equipment Rental Services
Saint and Sofia,Retail,Retail
Pizza Pilgrims,Food & Beverages,Retail
Jollyroom,Retail,Retail
Rohde & Schwarz Automotive,Motor Vehicle Manufacturing,Manufacturing
Benugo,Food & Beverages,Retail
Chase Distillery,Food and Beverage Services,Accomodation Services
Housing 2025,Events Services,Administrative and Support Services
Deutschlandradio,Broadcast Media Production and Distribution,"Technology, Information and Media"
Star Stable Entertainment AB,Entertainment,Entertainment Providers
Eika,Banking,Financial Services
Jet Import,Food & Beverages,Retail
gamigo group,Computer Games,"Technology, Information and Media"
Aareal Bank AG,Banking,Financial Services
Studio Retail Limited,Retail,Retail
art'otel,Hospitality,Accomodation Services
Ringnes AS,Food and Beverage Services,Accomodation Services
HOLON,Motor Vehicle Manufacturing,Manufacturing
Avacon Gruppe,Utilities,Utilities
Sofology,Retail,Retail
Network Aviation Group ,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Brownies&downieS,Hospitality,Accomodation Services
ENGIE Supply UK,Utilities,Utilities
LAMDA (London Academy of Music & Dramatic Art),Performing Arts,Entertainment Providers
Isle Utilities,Utilities,Utilities
Vereniging Eigen Huis,Consumer Services,Consumer Services
FAI Aviation Group,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Reima,Retail Apparel and Fashion,Retail
Comet,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Donkey Republic,Consumer Services,Consumer Services
SevenCapital,Real Estate,Real Estate and Equipment Rental Services
Franco Manca,Restaurants,Accomodation Services
Adnams,Food & Beverages,Retail
Stadgenoot,Real Estate,Real Estate and Equipment Rental Services
LabTech London Limited,Real Estate,Real Estate and Equipment Rental Services
AESC UK,Motor Vehicle Manufacturing,Manufacturing
RML Group,Motor Vehicle Manufacturing,Manufacturing
Biwater,Utilities,Utilities
Städel Museum,"Museums, Historical Sites, and Zoos",Entertainment Providers
BASF Automotive Refinish Coatings,Motor Vehicle Manufacturing,Manufacturing
Mercedes-Benz Customer Assistance Center Maastricht NV,Motor Vehicle Manufacturing,Manufacturing
iFAST Global Bank Limited,Banking,Financial Services
LOAVIES  OFFICIAL,Retail Apparel and Fashion,Retail
Bahne,Retail,Retail
Broshuis,Motor Vehicle Manufacturing,Manufacturing
Green Man Gaming,Computer Games,"Technology, Information and Media"
Bravissimo,Retail,Retail
AMORELIE,Online and Mail Order Retail,Retail
"Rockliffe Hall Hotel, Golf & Spa Resort",Hospitality,Accomodation Services
Wentworth Club Ltd,Hospitality,Accomodation Services
San Carlo Restaurant Group,Restaurants,Accomodation Services
Martin's Hotels,Hospitality,Accomodation Services
Papa John's Pizza the Netherlands,Restaurants,Accomodation Services
Aergo Capital,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
HBD,Real Estate,Real Estate and Equipment Rental Services
Novem Group,Motor Vehicle Manufacturing,Manufacturing
Normec Foodcare,Food and Beverage Services,Accomodation Services
Universal Pictures International Entertainment,Entertainment Providers,Entertainment Providers
PrepayPower,Utilities,Utilities
SEGA HARDlight,Computer Games,"Technology, Information and Media"
Lore Group,Hospitality,Accomodation Services
Independent Utility Advice ltd,Utilities,Utilities
Ad Alliance,Broadcast Media Production and Distribution,"Technology, Information and Media"
Leep Utilities,Utilities,Utilities
Stadtwerke Düsseldorf,Utilities,Utilities
Gothia Towers,Hospitality,Accomodation Services
Lefier,Real Estate,Real Estate and Equipment Rental Services
James Hall & Co. Ltd,Retail,Retail
Paleis Het Loo,"Museums, Historical Sites, and Zoos",Entertainment Providers
Audley Villages,Real Estate,Real Estate and Equipment Rental Services
Lannebo,Capital Markets,Financial Services
Subway EMEA,Food & Beverages,Retail
Generation UK & Ireland,Civic and Social Organizations,Consumer Services
KERB,Food and Beverage Services,Accomodation Services
Leonardo Hotels Benelux,Hospitality,Accomodation Services
Svenska Design Hotels,Hospitality,Accomodation Services
Svendborg Kommune,Civic and Social Organizations,Consumer Services
Ascent Flight Training,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
De Balie,Performing Arts,Entertainment Providers
EIDU,E-Learning Providers,Education
Sacher Hotels,Hospitality,Accomodation Services
Vertigo Games,Computer Games,"Technology, Information and Media"
Castlemartyr Resort,Hospitality,Accomodation Services
Agder Energi AS,Utilities,Utilities
Mercedes-Benz Vans UK,Motor Vehicle Manufacturing,Manufacturing
MAT Foundry Group Ltd,Motor Vehicle Manufacturing,Manufacturing
Kunta- ja hyvinvointialuetyönantajat KT,Civic and Social Organizations,Consumer Services
Eandis,Utilities,Utilities
Northern Ballet,Performing Arts,Entertainment Providers
RUSH Hair & Beauty,Retail,Retail
Rodschinson Investment Recruiter,Real Estate,Real Estate and Equipment Rental Services
Countrywide Surveying Services,Real Estate,Real Estate and Equipment Rental Services
Automotive Artificial Intelligence (AAI) GmbH,Motor Vehicle Manufacturing,Manufacturing
Jägermeister UK,Food and Beverage Services,Accomodation Services
Co-op Property,Real Estate,Real Estate and Equipment Rental Services
Tattu Restaurants,Restaurants,Accomodation Services
James Purdey & Sons - Richemont Group,Luxury Goods and Jewelry,Retail
The iNUA Hotel Collection,Hospitality,Accomodation Services
Vanilia,Retail Apparel and Fashion,Retail
WSA,Civic and Social Organizations,Consumer Services
FEC UK,Real Estate,Real Estate and Equipment Rental Services
Runway East | B Corp Serviced Offices,Hospitality,Accomodation Services
Bellagroup,Hospitality,Accomodation Services
BPI Real Estate,Real Estate,Real Estate and Equipment Rental Services
American Golf,Retail,Retail
Central Co-op,Retail,Retail
NOWACO A/S,Food and Beverage Services,Accomodation Services
FINE+RARE,Food and Beverage Services,Accomodation Services
CycloTech GmbH,Aviation & Aerospace,"Transportation, Logistics, Supply Chain and Storage"
Naked Copenhagen - Supplying Girls With Sneakers,Retail Apparel and Fashion,Retail
AeroCloud,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Raiffeisenlandesbank Oberösterreich AG,Banking,Financial Services
Hillfresh International BV,Food and Beverage Services,Accomodation Services
Porsche Lifestyle Group,Retail Luxury Goods and Jewelry,Retail
Tenpin Ltd (part of Ten Entertainment Group Plc),Entertainment Providers,Entertainment Providers
Future of Utilities,Utilities,Utilities
Lärarförbundet,Civic and Social Organizations,Consumer Services
Hakim Group,Retail,Retail
Eissmann Group Automotive,Motor Vehicle Manufacturing,Manufacturing
Henry Boot,Real Estate,Real Estate and Equipment Rental Services
Wereldhave,Real Estate,Real Estate and Equipment Rental Services
MHL Hotel Collection,Hospitality,Accomodation Services
Elinkeinoelämän keskusliitto EK – Confederation of Finnish Industries,Civic and Social Organizations,Consumer Services
Eneba,Computer Games,"Technology, Information and Media"
Nelsons - the home of Rescue Remedy,Retail,Retail
Dunea,Utilities,Utilities
DENHAM the Jeanmaker,Retail Apparel and Fashion,Retail
SachsenEnergie AG,Utilities,Utilities
Goldsmiths,Retail Luxury Goods and Jewelry,Retail
Katharina von Württemberg,Banking,Financial Services
Banijay Rights,Entertainment Providers,Entertainment Providers
Irma,Retail Groceries,Retail
Mondottica Group,Retail Apparel and Fashion,Retail
MCH A/S,Events Services,Administrative and Support Services
Mercedes-Benz Group AG,Motor Vehicle Manufacturing,Manufacturing
BenQ Europe,Consumer Electronics,Retail
Scotsman Hospitality,Restaurants,Accomodation Services
Teknologiateollisuus - Technology Industries of Finland,Civic and Social Organizations,Consumer Services
orsay,Retail Apparel and Fashion,Retail
GTC,Utilities,Utilities
Royal Museums of Fine Arts of Belgium,"Museums, Historical Sites, and Zoos",Entertainment Providers
Hamburg Messe und Congress GmbH,Events Services,Administrative and Support Services
HWA AG,Motor Vehicle Manufacturing,Manufacturing
Up Learn,E-Learning,Education
Robinsons Brewery,Food & Beverages,Retail
Quickspin,Computer Games,"Technology, Information and Media"
"Hastings Hotels, Northern Ireland",Hospitality,Accomodation Services
Sunspel,Retail Apparel and Fashion,Retail
Ejner Hessel A/S,Motor Vehicle Manufacturing,Manufacturing
Lee Cooper,Retail Apparel and Fashion,Retail
Clarendon Fine Art,Retail Art Dealers,"Technology, Information and Media"
Packaging Innovations & Empack,Events Services,Administrative and Support Services
Garanti BBVA International,Banking,Financial Services
Hamburg Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Wereldmuseum,"Museums, Historical Sites, and Zoos",Entertainment Providers
One Manchester,Civic and Social Organizations,Consumer Services
Lighthouse,Hospitality,Accomodation Services
BizClik,Broadcast Media Production and Distribution,"Technology, Information and Media"
SNS,Retail Apparel and Fashion,Retail
ISRINGHAUSEN GmbH & Co. KG,Motor Vehicle Manufacturing,Manufacturing
Workspace Group,Real Estate,Real Estate and Equipment Rental Services
Peach Pubs,Restaurants,Accomodation Services
Sparekassen Kronjylland,Banking,Financial Services
Skyports Drone Services,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Holland & Barrett Benelux,Retail,Retail
Knight Frank Ireland,Real Estate,Real Estate and Equipment Rental Services
BAWAG Group,Banking,Financial Services
Sahara,Retail Apparel and Fashion,Retail
Synchroon,Real Estate,Real Estate and Equipment Rental Services
Urban&Civic,Real Estate,Real Estate and Equipment Rental Services
FACEGYM,"Health, Wellness and Fitness",Entertainment Providers
art'otel,Hospitality,Accomodation Services
Childrensalon,Retail,Retail
Oliver's Travels,"Leisure, Travel & Tourism",Administrative and Support Services
Edinburgh International Film Festival,"Movies, Videos and Sound","Technology, Information and Media"
SA Brain and Company Ltd,Hospitality,Accomodation Services
Leading Edge Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
EIT Food Accelerator Network,Food and Beverage Services,Accomodation Services
Splendid Hospitality Group,Hospitality,Accomodation Services
Aspelin Ramm,Real Estate,Real Estate and Equipment Rental Services
Moto Hospitality,Hospitality,Accomodation Services
Löfbergs,Food and Beverage Services,Accomodation Services
analytica,Events Services,Administrative and Support Services
Insinööriliitto | Union of Professional Engineers in Finland,Civic and Social Organizations,Consumer Services
Amstel Hotel,Hospitality,Accomodation Services
Harvey Norman Ireland,Retail,Retail
Cologne Bonn Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Ubisoft Berlin,Computer Games,"Technology, Information and Media"
Gielissen Interiors | Exhibitions | Events,Events Services,Administrative and Support Services
Platzer Fastigheter,Real Estate,Real Estate and Equipment Rental Services
Seddon Homes Ltd,Real Estate,Real Estate and Equipment Rental Services
Sunclass Airlines,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
YAYA,Retail Apparel and Fashion,Retail
ASL Airlines Ireland,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
GMC Utilities Group,Utilities,Utilities
Findel,Retail,Retail
CTS EVENTIM AG & Co. KGaA,Events Services,Administrative and Support Services
DECA Games,Computer Games,"Technology, Information and Media"
UCC Coffee UK and Ireland,Food and Beverage Services,Accomodation Services
Savers Health Home & Beauty,Retail,Retail
MEININGER Hotels,Hospitality,Accomodation Services
Deutsche Apotheker- und Ärztebank - apoBank,Banking,Financial Services
KLP Eiendom AS,Real Estate,Real Estate and Equipment Rental Services
Trailfinders,"Leisure, Travel & Tourism",Administrative and Support Services
Third Kind Games,Computer Games,"Technology, Information and Media"
Net Insight,Broadcast Media Production and Distribution,"Technology, Information and Media"
Stage Entertainment Nederland,Entertainment,Entertainment Providers
Dolby Europe,Broadcast Media Production and Distribution,"Technology, Information and Media"
Unilever Foods Innovation Centre 'Hive',Food and Beverage Services,Accomodation Services
Gunzilla Games,Computer Games,"Technology, Information and Media"
Costcutter,Retail,Retail
Mercedes-Benz Sverige,Motor Vehicle Manufacturing,Manufacturing
Association of German Banks (BdB),Banking,Financial Services
RevolutionRace,Retail,Retail
Rivièra Maison,Retail,Retail
Esbjerg Kommune,Civic and Social Organizations,Consumer Services
RunThrough,Events Services,Administrative and Support Services
Poundstretcher Ltd.,Retail,Retail
Criterion Hospitality,Hospitality,Accomodation Services
The Grove,Hospitality,Accomodation Services
Got Event AB,Events Services,Administrative and Support Services
Autoglass,Motor Vehicle Manufacturing,Manufacturing
Choice Hotels EMEA,Hospitality,Accomodation Services
Stockholm Vatten och Avfall,Utilities,Utilities
Beauty Works,Retail,Retail
Picturehouse,Entertainment Providers,Entertainment Providers
JoJo Maman Bébé,Retail,Retail
Azzurri Group,Hospitality,Accomodation Services
CoolGames,Computer Games,"Technology, Information and Media"
CT Automotive,Motor Vehicle Manufacturing,Manufacturing
Stellantis UK,Motor Vehicle Manufacturing,Manufacturing
Migrant Help,Civic and Social Organizations,Consumer Services
Avios,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Celtic Anglian Water,Utilities,Utilities
Barco Entertainment - Immersive Experiences,Entertainment Providers,Entertainment Providers
HVO Querido,Civic and Social Organizations,Consumer Services
Wahaca,Hospitality,Accomodation Services
Learning Technologies Group,E-Learning Providers,Education
Resolution Games,Entertainment Providers,Entertainment Providers
Sage Homes,Real Estate,Real Estate and Equipment Rental Services
YAGER,Computer Games,"Technology, Information and Media"
HomeSense,Retail,Retail
Omoda,Retail Apparel and Fashion,Retail
Emma Bridgewater,Retail,Retail
Ben Automotive Industry Charity,Motor Vehicle Manufacturing,Manufacturing
ASL Group - Private Jet Services,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Black Shamrock - a Virtuos Studio,Computer Games,"Technology, Information and Media"
Humlegården Fastigheter AB,Real Estate,Real Estate and Equipment Rental Services
Reitan Retail,Retail,Retail
G5 Games,Entertainment Providers,Entertainment Providers
SSVFX,"Movies, Videos and Sound","Technology, Information and Media"
Hyatt Regency London – The Churchill,Hospitality,Accomodation Services
Coptrz,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Vrumona,Food and Beverage Services,Accomodation Services
Clive,Events Services,Administrative and Support Services
Sokos Hotels,Hospitality,Accomodation Services
Calisen,Utilities,Utilities
WIJ Groningen,Civic and Social Organizations,Consumer Services
KLM Cargo,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Hemtex AB,Retail,Retail
Hain Celestial UK,Food and Beverage Services,Accomodation Services
Situ,Hospitality,Accomodation Services
Alfa Laval - Food & Beverage Production,Food and Beverage Services,Accomodation Services
BILLA AG,Retail,Retail
InterContinental London Park Lane,Hospitality,Accomodation Services
MCR Property Group,Real Estate,Real Estate and Equipment Rental Services
GLOSSYBOX,Cosmetics,retail
National Museums Liverpool,"Museums, Historical Sites, and Zoos",Entertainment Providers
4Wall Europe,Events Services,Administrative and Support Services
PKF hospitality group,Hospitality,Accomodation Services
Bradford 2025 UK City of Culture,Performing Arts,Entertainment Providers
S&R Construction Ltd,Utilities,Utilities
WITTE Automotive,Motor Vehicle Manufacturing,Manufacturing
Southend-on-Sea City Council,Civic and Social Organizations,Consumer Services
All Options,Capital Markets,Financial Services
John West Foods,Food & Beverages,Retail
Hørkram Foodservice A/S,Food and Beverage Services,Accomodation Services
We Invest Real Estate,Real Estate,Real Estate and Equipment Rental Services
Hemnet,Real Estate,Real Estate and Equipment Rental Services
NetOnNet,Consumer Electronics,Retail
Jacy'z Hotel & Resort,"Leisure, Travel & Tourism",Administrative and Support Services
Hamburg Commercial Bank,Banking,Financial Services
Eleo,Motor Vehicle Manufacturing,Manufacturing
K-Fastigheter,Real Estate,Real Estate and Equipment Rental Services
toom Baumarkt,Retail,Retail
Danske Bank UK,Banking,Financial Services
Byron,Hospitality,Accomodation Services
IQA Elecnor,Utilities,Utilities
Xquisite Productions,Events Services,Administrative and Support Services
Ny Carlsberg Glyptotek,"Museums, Historical Sites, and Zoos",Entertainment Providers
Nortura,Retail,Retail
Scottish Event Campus (SEC),Hospitality,Accomodation Services
Kvik A/S,Retail,Retail
Groningen Airport Eelde,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
BEOS AG,Real Estate,Real Estate and Equipment Rental Services
Arch & Hook,Retail,Retail
H-Hotels.com,Hospitality,Accomodation Services
Société wallonne des eaux (SWDE),Utilities,Utilities
Hans Anders,Retail,Retail
Deka Private Banking und Wealth Management,Banking,Financial Services
MOS MOSH,Retail Apparel and Fashion,Retail
The North British Distillery Company Ltd.,Food and Beverage Services,Accomodation Services
LINDE + WIEMANN Group,Motor Vehicle Manufacturing,Manufacturing
Loetje,Hospitality,Accomodation Services
Stuttgart Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ExpoPlatform,Events Services,Administrative and Support Services
WestCord Hotels,Hospitality,Accomodation Services
Uhrenholt,Food & Beverages,Retail
Lamington Group | B Corp,Hospitality,Accomodation Services
comdirect – eine Marke der Commerzbank AG,Banking,Financial Services
Roxy Leisure Ltd - Roxy Ball Room & Roxy Lanes,Hospitality,Accomodation Services
Møller Mobility Group,Motor Vehicle Manufacturing,Manufacturing
